NODE,Y CO-ORDINATE,X CO-ORDINATE,DEMAND
ML_1,34.0128314,-117.54627,-168
ML_2,34.0158708,-117.5470037,0
ML_3,34.0105239,-117.5565807,0
ML_4,34.0130044,-117.5534124,0
WA_1,46.2791027,-119.9202549,0
WA_2,47.2527505,-122.3933735,0
OR,45.808702,-119.2586681,0
WY,41.1196407,-104.9041492,0
s1,45.930006,-122.762362,1
s2,46.129659,-122.963938,1
s3,46.709039,-122.963938,1
s4,46.942068,-122.58491,1
s5,47.024513,-122.930979,1
s6,47.264706,-123.139293,1
s7,47.247431,-122.528455,1
s8,47.201338,-122.180617,1
s9,47.379726,-122.273939,1
s10,47.414183,-122.087294,1
s11,47.339497,-119.516685,1
s12,47.614734,-122.172133,1
s13,47.671893,-122.638745,1
s14,47.87715,-122.282423,1
s15,47.87715,-122.282425,1
s16,47.87715,-122.002455,1
s17,48.109927,-122.172133,1
s18,48.448686,-122.324842,1
s19,48.426172,-119.525168,1
s20,48.857816,-122.511487,1
s21,48.612468,-117.941199,1
s22,48.152786,-123.401404,1
s23,48.12346,-123.126745,1
s24,48.269924,-122.269812,1
s25,48.269924,-122.269814,1
s26,47.880878,-120.072546,1
s27,47.607535,-122.621374,1
s28,47.58531,-122.181921,1
s29,47.58531,-120.369177,1
s30,47.429464,-122.324743,1
s31,47.429464,-122.324743,1
s32,47.041569,-123.774939,1
s33,47.116385,-122.775183,1
s34,47.10143,-122.42362,1
s35,47.161224,-122.258826,1
s36,46.348333,-119.984656,1
s37,46.310402,-119.292517,1
s38,45.722943,-122.698279,1
s39,45.630828,-122.489538,1
s40,45.837872,-122.533484,1
s41,48.318818,-122.663785,1
s42,47.966936,-122.224332,1
s43,47.694047,-122.663785,1
s44,47.285747,-122.531949,1
s45,47.218632,-122.279264,1
s46,47.18131,-119.279996,1
s47,47.686652,-117.181608,1
s48,46.866761,-119.14816,1
s49,46.738916,-117.20358,1
s50,46.610768,-120.609342,1
s51,46.62586,-120.46652,1
s52,46.391461,-119.170133,1
s53,46.209296,-119.170133,1
s54,46.186483,-123.015348,1
s55,45.850801,-122.553922,1
s56,45.643805,-122.542936,1
s57,46.719039,-122.963938,1
s58,46.942168,-122.58491,1
s59,47.024613,-122.940979,1
s60,47.263706,-123.149293,1
s61,47.267431,-122.538455,1
s62,45.847872,-122.543484,1
s63,48.338818,-122.673785,1
s64,47.976936,-122.234332,1
s65,47.684047,-122.673785,1
s66,47.295747,-122.541949,1
s67,47.238632,-122.289264,1
s68,47.12131,-119.289996,1
s69,42.4499,-122.865042,1
s70,42.4239,-122.875042,1
s71,43.422364,-124.254583,1
s72,43.829631,-123.061112,1
s73,44.050614,-121.330579,1
s74,44.093487,-123.001439,1
s75,44.55697,-122.890616,1
s76,44.654079,-123.052587,1
s77,44.690453,-124.058513,1
s78,44.950465,-123.316856,1
s79,44.908217,-123.009963,1
s80,44.992681,-123.009963,1
s81,45.131174,-122.941765,1
s82,45.179266,-122.813893,1
s83,45.263532,-123.180917,1
s84,45.388551,-122.833748,1
s85,45.578526,-123.087774,1
s86,45.483619,-122.58819,1
s87,45.542954,-122.537384,1
s88,45.619997,-122.706735,1
s89,45.602228,-122.537384,1
s90,42.23894,-121.766835,1
s91,42.324724,-122.852539,1
s92,42.550323,-122.820916,1
s93,42.441514,-123.326875,1
s94,44.061306,-123.210926,1
s95,44.121872,-123.052814,1
s96,44.325823,-121.176549,1
s97,44.326823,-121.179549,1
s98,44.536582,-122.905243,1
s99,45.460805,-122.73659,1
s100,45.571595,-122.441447,1
s101,45.880648,-122.831457,1
s102,45.74105,-121.566559,1
s103,45.87331,-119.289743,1
s104,45.696894,-118.804865,1
s105,45.372015,-118.056467,1
s106,42.560323,-122.820916,1
s107,42.451514,-123.326875,1
s108,44.071306,-123.210926,1
s109,44.181872,-123.052814,1
s110,44.335823,-121.176549,1
s111,44.365823,-121.176549,1
s112,48.601723,-109.753342,1
s113,48.249445,-114.336138,1
s114,47.741952,-114.15196,1
s115,47.552183,-111.313443,1
s116,47.522926,-111.205103,1
s117,46.941763,-113.989449,1
s118,46.852927,-114.086955,1
s119,46.659945,-112.006821,1
s120,46.009169,-112.494353,1
s121,45.737616,-111.06426,1
s122,45.714927,-108.77828,1
s123,45.805628,-108.594101,1
s124,45.85847,-108.474927,1
s125,46.458809,-105.820589,1
s126,45.738616,-111.06426,1
s127,45.715927,-108.77828,1
s128,48.372202,-116.550609,1
s129,47.769761,-117.044204,1
s130,47.74048,-116.913546,1
s131,47.799025,-116.768371,1
s132,47.574247,-116.158637,1
s133,44.059929,-116.939318,1
s134,43.661863,-116.67642,1
s135,43.5905,-116.610695,1
s136,43.628571,-116.512108,1
s137,43.609539,-116.400377,1
s138,43.671372,-116.347797,1
s139,43.614297,-116.400377,1
s140,43.714142,-116.282072,1
s141,43.609539,-116.282072,1
s142,43.165339,-115.664261,1
s143,42.746852,-114.527226,1
s144,42.616398,-114.487791,1
s145,42.572853,-113.79111,1
s146,43.519053,-112.082271,1
s147,43.499986,-111.970539,1
s148,43.884918,-111.78651,1
s149,48.395726,-116.543564,1
s150,43.782276,-116.433701,1
s151,42.983832,-112.478623,1
s152,43.416298,-112.214951,1
s153,42.582853,-113.79111,1
s154,43.529053,-112.082271,1
s155,43.479986,-111.970539,1
s156,44.812047,-106.944295,1
s157,44.550176,-109.124221,1
s158,44.315617,-105.500965,1
s159,43.099642,-108.407533,1
s160,42.859326,-106.366963,1
s161,42.895798,-106.217653,1
s162,41.300593,-110.945803,1
s163,41.665985,-109.253623,1
s164,41.844201,-107.223007,1
s165,41.345445,-105.540781,1
s166,41.210795,-104.814139,1
s167,41.210795,-104.714599,1
s168,41.675985,-109.263623,1
